id,piston_velocity_phase1,metal_velocity_gate,fill_time,phase_transition_position,intensification_time_phase3,intensification_pressure,solidification_time,cycle_time,sleeve_fill_percentage,sleeve_diameter,sleeve_length,plunger_lubricant,plunger_sleeve_clearance,sleeve_temperature,plunger_temperature,blisters_post_treatment,surface_blisters,die_sticking,flow_lines,surface_streaks,cold_shut,heat_cracks,ejector_pin_marks,die_soldering,surface_oxide_inclusions,low_tensile_strength,low_elongation,low_ultimate_strength,low_fatigue_resistance,low_surface_hardness,density_deviation,incomplete_fill,flash,warpage,shrinkage_porosity,volumetric_variation,dimensional_deviation,gas_porosity,gas_bubbles,internal_shrinkage,cracks,hard_inclusions,oxide_inclusions,total_defects,has_defect
1,0.24,3.64,33.38,175.7,5.81,90.21,24.45,62.46,48.97,45.24,126.95,0.0,0.11,184.38,161.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.21,3.74,34.49,175.27,7.04,107.57,15.88,62.49,45.21,49.01,127.24,0.0,0.11,188.01,160.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.23,3.76,33.96,177.09,7.63,80.62,17.55,76.41,43.07,48.6,121.68,0.0,0.1,184.9,176.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.23,3.58,36.2,174.31,7.34,99.99,19.1,68.61,49.03,48.34,121.36,0.0,0.09,184.69,168.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.22,3.69,30.69,175.9,5.32,84.87,15.33,83.0,42.77,47.54,128.92,0.0,0.1,192.65,174.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.2,3.7,38.43,173.42,5.42,96.55,19.68,64.74,46.09,48.77,125.66,0.0,0.12,191.01,178.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.23,3.59,30.57,170.82,6.07,104.05,24.38,73.69,47.48,45.04,126.24,0.0,0.09,197.88,169.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.23,3.65,30.07,175.09,7.03,103.42,24.69,74.7,42.56,46.22,127.8,0.0,0.09,188.11,171.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.21,3.62,37.74,171.39,7.71,94.45,15.63,78.32,49.22,49.6,120.48,0.0,0.1,193.94,163.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.24,3.73,39.45,175.43,5.79,85.24,15.05,63.75,45.99,47.03,127.92,0.0,0.09,187.13,172.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.21,3.65,37.43,172.28,7.37,94.92,22.37,88.9,46.06,47.51,127.11,0.0,0.1,196.91,160.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.23,3.76,30.36,176.64,7.41,86.38,18.15,81.36,43.55,46.62,126.58,0.0,0.09,189.04,171.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.22,3.53,39.89,170.12,6.14,106.99,20.1,61.41,48.83,47.04,129.84,0.0,0.1,189.95,168.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
