index,feature_name
1,piston_velocity_phase1_distance_from_center
2,metal_velocity_gate_distance_from_center
3,fill_time_distance_from_center
4,phase_transition_position_distance_from_center
5,intensification_time_phase3_distance_from_center
6,intensification_pressure_distance_from_center
7,solidification_time_distance_from_center
8,cycle_time_distance_from_center
9,sleeve_fill_percentage_distance_from_center
10,sleeve_diameter_distance_from_center
11,sleeve_length_distance_from_center
12,plunger_lubricant_distance_from_center
13,plunger_sleeve_clearance_distance_from_center
14,sleeve_temperature_distance_from_center
15,plunger_temperature_distance_from_center
