index,feature_name
1,piston_velocity_phase1_distance_from_range
2,metal_velocity_gate_distance_from_range
3,fill_time_distance_from_range
4,phase_transition_position_distance_from_range
5,intensification_time_phase3_distance_from_range
6,intensification_pressure_distance_from_range
7,solidification_time_distance_from_range
8,cycle_time_distance_from_range
9,sleeve_fill_percentage_distance_from_range
10,sleeve_diameter_distance_from_range
11,sleeve_length_distance_from_range
12,plunger_lubricant_distance_from_range
13,plunger_sleeve_clearance_distance_from_range
14,sleeve_temperature_distance_from_range
15,plunger_temperature_distance_from_range
