defect,test_positives,PyTorch NN,XGBoost,Random Forest,Logistic Regression (L2/Ridge),Logistic Regression (L1/Lasso)
gas_porosity,141,0.9941,0.994,0.9904,0.9937,0.9937
density_deviation,140,0.9932,0.9922,0.9904,0.9945,0.9945
cold_shut,138,0.9951,0.9938,0.9913,0.9959,0.9959
gas_bubbles,129,0.9938,0.993,0.9909,0.9947,0.9948
incomplete_fill,105,0.9942,0.9939,0.9931,0.9948,0.9948
surface_blisters,93,0.9916,0.9906,0.9887,0.9925,0.9925
blisters_post_treatment,92,0.9951,0.9946,0.9937,0.9954,0.9954
volumetric_variation,84,0.9961,0.9962,0.9965,0.9851,0.9871
low_elongation,84,0.9941,0.9937,0.9928,0.9938,0.9939
dimensional_deviation,83,0.9967,0.9964,0.9961,0.9963,0.9964
low_tensile_strength,80,0.9953,0.9946,0.9943,0.9935,0.9938
low_fatigue_resistance,76,0.9965,0.9964,0.996,0.9946,0.9948
low_ultimate_strength,70,0.9941,0.9911,0.9911,0.9939,0.994
die_soldering,67,0.9942,0.9943,0.9948,0.9819,0.9819
low_surface_hardness,65,0.9974,0.997,0.997,0.9975,0.9975
die_sticking,55,0.9948,0.9948,0.9944,0.996,0.9961
flow_lines,50,0.9938,0.9943,0.9942,0.9953,0.9953
oxide_inclusions,49,0.9946,0.9953,0.9932,0.9928,0.9892
flash,49,0.9914,0.9915,0.9909,0.9925,0.9926
internal_shrinkage,42,0.9958,0.9965,0.9965,0.9967,0.9968
surface_oxide_inclusions,40,0.9952,0.9936,0.9932,0.9689,0.9679
warpage,37,0.994,0.9907,0.9913,0.9943,0.9943
cracks,31,0.997,0.9971,0.997,0.9967,0.9966
hard_inclusions,21,0.9947,0.9964,0.9955,0.9818,0.9924
shrinkage_porosity,20,0.9984,0.9981,0.9975,0.9985,0.9984
heat_cracks,8,0.9981,0.9984,0.9982,0.9987,0.8905
surface_streaks,7,0.9985,0.9991,0.9991,0.999,0.9989
ejector_pin_marks,0,,,,,
