model,mean_predicted_prob,observed_positive_freq
PyTorch NN,0.0002,0.0002
PyTorch NN,0.1452,0.0838
PyTorch NN,0.2473,0.1795
PyTorch NN,0.3466,0.1647
PyTorch NN,0.4542,0.2525
PyTorch NN,0.5533,0.2267
PyTorch NN,0.6556,0.3121
PyTorch NN,0.7564,0.3401
PyTorch NN,0.8578,0.4493
PyTorch NN,0.9486,0.6638
XGBoost,0.0006,0.0003
XGBoost,0.1377,0.1336
XGBoost,0.2477,0.2204
XGBoost,0.3485,0.3473
XGBoost,0.4518,0.3174
XGBoost,0.5497,0.3631
XGBoost,0.653,0.3551
XGBoost,0.7517,0.4414
XGBoost,0.8566,0.4966
XGBoost,0.9634,0.6198
Random Forest,0.0008,0.0
Random Forest,0.1458,0.017
Random Forest,0.2466,0.0763
Random Forest,0.351,0.1901
Random Forest,0.4511,0.3362
Random Forest,0.5518,0.454
Random Forest,0.652,0.4789
Random Forest,0.7502,0.5513
Random Forest,0.8457,0.6278
Random Forest,0.9176,0.6954
Logistic Regression (L2/Ridge),0.0014,0.0002
Logistic Regression (L2/Ridge),0.1457,0.0793
Logistic Regression (L2/Ridge),0.2428,0.1078
Logistic Regression (L2/Ridge),0.349,0.1774
Logistic Regression (L2/Ridge),0.4512,0.3182
Logistic Regression (L2/Ridge),0.5565,0.2414
Logistic Regression (L2/Ridge),0.6523,0.2755
Logistic Regression (L2/Ridge),0.7519,0.3043
Logistic Regression (L2/Ridge),0.8599,0.3206
Logistic Regression (L2/Ridge),0.982,0.5598
Logistic Regression (L1/Lasso),0.0016,0.0002
Logistic Regression (L1/Lasso),0.1456,0.0795
Logistic Regression (L1/Lasso),0.2467,0.0941
Logistic Regression (L1/Lasso),0.3419,0.1129
Logistic Regression (L1/Lasso),0.4478,0.25
Logistic Regression (L1/Lasso),0.5506,0.2833
Logistic Regression (L1/Lasso),0.6509,0.3125
Logistic Regression (L1/Lasso),0.7572,0.2466
Logistic Regression (L1/Lasso),0.8618,0.3211
Logistic Regression (L1/Lasso),0.9819,0.561
