defeito,estrategia,threshold,recall,precision,f1
blisters_post_treatment,Recall-first,0.07,1.0,0.4623,0.6323
surface_blisters,Recall-first,0.05,0.9785,0.4333,0.6007
die_sticking,Recall-first,0.44000000000000006,1.0,0.4074,0.5789
flow_lines,Recall-first,0.1,1.0,0.4237,0.5952
surface_streaks,Recall-first,0.6000000000000002,1.0,0.28,0.4375
cold_shut,Recall-first,0.21000000000000002,1.0,0.5897,0.7419
heat_cracks,Recall-first,0.13,1.0,0.1951,0.3265
die_soldering,Recall-first,0.060000000000000005,1.0,0.482,0.6505
surface_oxide_inclusions,Recall-first,0.12000000000000001,0.95,0.3762,0.539
low_tensile_strength,Recall-first,0.4100000000000001,0.975,0.5166,0.6753
low_elongation,Recall-first,0.05,0.9881,0.5321,0.6917
low_ultimate_strength,Recall-first,0.37000000000000005,1.0,0.4575,0.6278
low_fatigue_resistance,Recall-first,0.18000000000000005,0.9868,0.5682,0.7212
low_surface_hardness,Recall-first,0.35000000000000003,0.9846,0.5766,0.7273
density_deviation,Recall-first,0.1,1.0,0.5957,0.7467
incomplete_fill,Recall-first,0.1,1.0,0.4861,0.6542
flash,Recall-first,0.24000000000000005,0.9592,0.3287,0.4896
warpage,Recall-first,0.5300000000000001,1.0,0.3426,0.5103
shrinkage_porosity,Recall-first,0.5400000000000001,1.0,0.5,0.6667
volumetric_variation,Recall-first,0.05,1.0,0.5915,0.7434
dimensional_deviation,Recall-first,0.08000000000000002,1.0,0.5804,0.7345
gas_porosity,Recall-first,0.05,1.0,0.5402,0.7015
gas_bubbles,Recall-first,0.07,1.0,0.5397,0.7011
internal_shrinkage,Recall-first,0.16000000000000003,1.0,0.3962,0.5676
cracks,Recall-first,0.7800000000000001,1.0,0.5254,0.6889
hard_inclusions,Recall-first,0.29000000000000004,0.9524,0.3125,0.4706
oxide_inclusions,Recall-first,0.2,0.9592,0.4017,0.5663
blisters_post_treatment,F1 (balanced),0.7500000000000002,0.837,0.6111,0.7064
surface_blisters,F1 (balanced),0.7900000000000001,0.7419,0.5308,0.6188
die_sticking,F1 (balanced),0.7400000000000002,0.8727,0.4752,0.6154
flow_lines,F1 (balanced),0.6800000000000002,0.96,0.4752,0.6358
surface_streaks,F1 (balanced),0.9000000000000002,0.4286,0.6,0.5
cold_shut,F1 (balanced),0.7500000000000002,0.9565,0.6535,0.7765
heat_cracks,F1 (balanced),0.8400000000000002,0.625,0.4545,0.5263
die_soldering,F1 (balanced),0.7100000000000002,0.9701,0.5417,0.6952
surface_oxide_inclusions,F1 (balanced),0.6100000000000001,0.85,0.4416,0.5812
low_tensile_strength,F1 (balanced),0.5600000000000002,0.9625,0.5423,0.6937
low_elongation,F1 (balanced),0.05,0.9881,0.5321,0.6917
low_ultimate_strength,F1 (balanced),0.7500000000000002,0.8857,0.5124,0.6492
low_fatigue_resistance,F1 (balanced),0.6600000000000001,0.8816,0.6381,0.7403
low_surface_hardness,F1 (balanced),0.8700000000000002,0.7538,0.7313,0.7424
density_deviation,F1 (balanced),0.6500000000000001,0.95,0.6186,0.7493
incomplete_fill,F1 (balanced),0.8400000000000002,0.8,0.6562,0.721
flash,F1 (balanced),0.8300000000000002,0.6122,0.4688,0.531
warpage,F1 (balanced),0.8000000000000002,0.8919,0.3929,0.5455
