Model,Strategy,Recall,Precision,F1-micro,F1-macro,F2-micro
PyTorch NN,Recall-first,0.9925,0.4876,0.6539,0.5995,0.8222
PyTorch NN,F1 (balanced),0.8879,0.5708,0.6949,0.6377,0.7991
PyTorch NN,F-beta β=2 (recall-weighted),0.9828,0.5068,0.6687,0.6150,0.8274
PyTorch NN,F-beta β=0.5 (precision-weighted),0.6789,0.6360,0.6568,0.6022,0.6699
XGBoost,Recall-first,0.9903,0.4806,0.6472,0.6099,0.8170
XGBoost,F1 (balanced),0.8863,0.5620,0.6879,0.6427,0.7946
XGBoost,F-beta β=2 (recall-weighted),0.9774,0.5084,0.6689,0.6264,0.8251
XGBoost,F-beta β=0.5 (precision-weighted),0.7306,0.6054,0.6621,0.6128,0.7016
Random Forest,Recall-first,0.9989,0.4067,0.5780,0.5549,0.7736
Random Forest,F1 (balanced),0.9213,0.5355,0.6774,0.6316,0.8053
Random Forest,F-beta β=2 (recall-weighted),0.9709,0.5045,0.6640,0.6201,0.8194
Random Forest,F-beta β=0.5 (precision-weighted),0.7166,0.5836,0.6433,0.5860,0.6854
Logistic Regression (L2/Ridge),Recall-first,0.9865,0.4981,0.6620,0.6194,0.8248
Logistic Regression (L2/Ridge),F1 (balanced),0.9359,0.5486,0.6918,0.6421,0.8201
Logistic Regression (L2/Ridge),F-beta β=2 (recall-weighted),0.9758,0.5218,0.6799,0.6328,0.8311
Logistic Regression (L2/Ridge),F-beta β=0.5 (precision-weighted),0.8869,0.5604,0.6868,0.6355,0.7943
Logistic Regression (L1/Lasso),Recall-first,0.9876,0.4972,0.6614,0.6163,0.8249
Logistic Regression (L1/Lasso),F1 (balanced),0.9364,0.5505,0.6934,0.6431,0.8213
Logistic Regression (L1/Lasso),F-beta β=2 (recall-weighted),0.9752,0.5246,0.6822,0.6323,0.8323
Logistic Regression (L1/Lasso),F-beta β=0.5 (precision-weighted),0.8939,0.5618,0.6900,0.6389,0.7994
