feature,PyTorch NN,XGBoost,Random Forest,Logistic Regression (L2/Ridge),Logistic Regression (L1/Lasso),importancia_media,process_phase,feature_category
n_vars_in_range,0.01682,0.40009,0.13559,0.00698,0.00836,0.11357,Global/Aggregation,Statistical aggregation
n_vars_out_of_range,0.03856,0.19981,0.17297,0.00698,0.00789,0.08524,Global/Aggregation,Statistical aggregation
max_distance_from_ideal,0.0,0.05948,0.21659,0.03344,0.04618,0.07114,Global/Aggregation,Statistical aggregation
avg_distance_from_ideal,0.00019,0.0462,0.10251,0.00561,0.00156,0.03121,Global/Aggregation,Statistical aggregation
metal_velocity_gate_distance_from_range,0.07809,0.00351,0.0091,0.01623,0.01798,0.02498,Injection,Ideal-range distance
intensification_pressure_distance_from_range,0.08944,0.00366,0.01071,0.00991,0.01053,0.02485,Intensification,Ideal-range distance
cycle_time_distance_from_range,0.07546,0.01129,0.01124,0.01101,0.01314,0.02443,Cooling,Ideal-range distance
intensification_pressure_in_range,0.0555,0.01262,0.00836,0.00805,0.01582,0.02007,Intensification,Range flag
intensification_time_phase3_distance_from_range,0.05286,0.0036,0.00589,0.01127,0.0137,0.01746,Intensification,Ideal-range distance
fill_time_distance_from_range,0.03276,0.00801,0.01239,0.01309,0.01674,0.0166,Injection,Ideal-range distance
phase_transition_position_distance_from_range,0.05579,0.00379,0.00605,0.0079,0.0079,0.01628,Injection,Ideal-range distance
phase_transition_position_in_range,0.04072,0.00268,0.00606,0.00654,0.00991,0.01319,Injection,Range flag
solidification_time_distance_from_range,0.03063,0.00231,0.00346,0.0133,0.01378,0.01269,Cooling,Ideal-range distance
solidification_ratio,0.00156,0.00214,0.00329,0.026,0.02872,0.01234,Cooling,Ratio
piston_velocity_phase1_distance_from_range,0.03823,0.00117,0.00484,0.00875,0.00851,0.0123,Injection,Ideal-range distance
plunger_lubricant,0.01425,0.0171,0.00705,0.01029,0.01195,0.01213,Configuration/Maintenance,Original
sleeve_length_distance_from_range,0.03362,0.00328,0.00229,0.00934,0.01018,0.01174,Configuration/Maintenance,Ideal-range distance
fill_time_in_range,0.02041,0.01019,0.01029,0.00681,0.01064,0.01167,Injection,Range flag
pressure_time_ratio,0.0,0.00343,0.0047,0.02584,0.02414,0.01162,Intensification,Ratio
